fr24_id,hex,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source
3b50660a,780EF5,GCR7460,22.62305,113.95229,41,14800,360,-64,0626,2025-07-18T15:59:59Z,ADSB
3b504dba,780F6C,CES9700,22.72105,114.14126,263,33850,468,1216,2436,2025-07-18T15:59:59Z,ADSB
3b4f3e89,151D87,AFL856,22.37682,113.8657,177,34075,478,0,1243,2025-07-18T16:14:59Z,ADSB
3b4fb01f,7808AD,CSZ632,22.49757,113.86895,346,2950,159,-1152,7402,2025-07-18T16:15:00Z,ADSB
3b507865,780F0B,CXA8842,22.5195,113.85427,41,13800,364,0,2433,2025-07-18T16:14:59Z,ADSB
3b5013b4,899134,EVA681,22.55544,113.85661,332,1900,142,-704,6271,2025-07-18T16:14:59Z,ADSB
3b4fad5c,781F25,CSN3634,22.54343,113.86317,334,2175,138,-704,1227,2025-07-18T16:29:56Z,ADSB
3b4fc9cd,A046B6,FDX6053,22.38464,113.87161,2,14575,377,-832,2160,2025-07-18T16:29:59Z,ADSB
3b508526,78057C,CXA8344,22.56656,113.89886,41,13800,376,0,3134,2025-07-18T16:29:59Z,ADSB
3b4fd569,71BA11,ABL381,22.35576,114.23969,265,18275,392,-1152,7106,2025-07-18T16:29:58Z,ADSB
3b5007da,781307,AMU021,22.35075,114.1684,265,19250,416,-1088,3771,2025-07-18T16:44:59Z,ADSB
3b4fd123,7812EB,CHH450,22.52362,113.8652,179,36100,462,64,6325,2025-07-18T16:44:59Z,ADSB
3b503c69,780738,CHH7396,22.50288,113.91344,242,3200,201,-512,3656,2025-07-18T16:44:59Z,ADSB
3b50388a,7807AC,CSZ9818,22.62574,114.07095,224,5150,258,-576,5016,2025-07-18T16:44:59Z,ADSB
3b4fa23e,A38DD8,UPS118,22.56541,113.85111,332,1725,161,-768,6313,2025-07-18T16:59:56Z,ADSB
3b50574c,780FA4,CBJ5136,22.63174,113.9438,228,34125,476,-64,3633,2025-07-18T16:59:58Z,ADSB
3b503576,780817,CHH7875,22.55144,113.8588,333,2000,152,-704,4034,2025-07-18T17:14:56Z,ADSB
3b4fd011,750266,MAS6176,22.60799,113.90605,8,14800,354,0,2134,2025-07-18T17:15:00Z,ADSB
3b5055e0,782159,DKH2205,22.49502,113.94155,256,2875,203,-896,6311,2025-07-18T17:15:00Z,ADSB
3b507128,4851AD,KLM808,22.5363,114.15639,310,33075,512,-64,2611,2025-07-18T17:15:00Z,ADSB
3b505bf1,780CFD,CSZ9520,22.49254,113.88068,15,2750,171,-64,5070,2025-07-18T17:30:00Z,ADSB
3b506794,78114A,CSN3558,22.61293,114.00687,182,4425,213,-640,0610,2025-07-18T17:30:00Z,ADSB
3b509810,780F5A,FZA6531,22.7012,114.03757,245,30100,464,-64,2710,2025-07-18T17:30:00Z,ADSB
3b50089c,A05434,FDX6067,22.69966,113.92059,8,14800,401,-512,5642,2025-07-18T17:30:00Z,ADSB
3b5082e5,780E56,CDC8684,22.50412,113.88293,345,2775,186,0,0326,2025-07-18T17:44:58Z,ADSB
3b4ffad5,7810C4,CSS310,22.52614,113.87254,333,2575,142,-832,2135,2025-07-18T17:59:48Z,ADSB
3b50836f,7815F7,CSS7203,22.60716,114.19025,249,5375,290,-64,5046,2025-07-18T17:59:57Z,ADSB
3b504816,882E62,KMI201,22.47863,113.862,51,2750,178,-64,0727,2025-07-18T18:14:55Z,ADSB
3b507b28,7812EC,CHH7744,22.54193,113.86401,332,2200,153,-768,7750,2025-07-18T18:14:50Z,ADSB
3b4fdc2b,7812E9,CSZ652,22.59306,114.02725,217,4400,247,-512,6333,2025-07-18T18:14:59Z,ADSB
3b50759b,A33EDA,UPS145,22.4939,113.88224,23,2800,166,-64,0706,2025-07-18T18:30:00Z,ADSB
3b50d711,3C6518,DLH797,22.66319,114.07199,334,17575,434,832,5327,2025-07-18T18:30:00Z,ADSB
3b50854b,3C458A,BOX586,22.48352,113.8636,35,3175,196,-512,6135,2025-07-18T18:44:59Z,ADSB
3b50ee23,789245,CPA271,22.71609,114.04444,334,18700,400,512,5141,2025-07-18T18:44:58Z,ADSB
3b50b5e2,780E9C,CSS6840,22.47885,113.87115,68,2800,182,-320,5054,2025-07-18T18:59:57Z,ADSB
3b50a260,70E049,KHV610,22.54866,113.89691,8,14800,368,-64,1632,2025-07-18T18:59:59Z,ADSB
3b504d14,78120A,CXA8805,22.70174,113.87694,78,7375,224,64,1200,2025-07-18T18:59:58Z,ADSB
3b50cde8,781DBE,CSS7223,22.62895,114.07454,264,5375,218,0,3641,2025-07-18T18:59:59Z,ADSB
3b50bbee,71C014,JNA116,22.59338,114.13895,6,35100,466,0,5641,2025-07-18T18:59:59Z,ADSB
3b50fa48,789202,CPA293,22.40564,114.22445,328,16200,342,1088,5172,2025-07-18T18:59:59Z,ADSB
3b50e037,781F65,CSS7277,22.51442,113.89057,306,2775,156,0,7034,2025-07-18T19:14:58Z,ADSB
3b4f0494,AB9A5B,FDX6013,22.69286,113.91938,8,11575,336,-896,1565,2025-07-18T19:14:59Z,ADSB
3b50c86c,780CD9,EPA6238,22.57416,114.03956,210,4675,218,-1024,1017,2025-07-18T19:14:59Z,ADSB
3b50cb28,7813B7,EPA6258,22.68475,114.23235,252,5350,264,64,7751,2025-07-18T19:15:00Z,ADSB
3b50f36b,7805A8,CHH7772,22.50135,113.91068,245,2900,206,-896,7030,2025-07-18T19:29:59Z,ADSB
3b50ab12,7BD015,CSS7109,22.64218,114.00178,133,7100,200,-1152,3043,2025-07-18T19:29:58Z,ADSB
3b50f1ef,782178,JDL2859,22.56404,113.85187,333,1750,148,-704,0603,2025-07-18T19:44:56Z,ADSB
3b50f73c,71C013,JNA112,22.48833,114.11569,16,35100,460,0,5516,2025-07-18T19:44:59Z,ADSB
3b51311f,780AB6,CPA321,22.34344,114.0262,80,3725,221,2112,5123,2025-07-18T20:00:00Z,ADSB
3b50f616,781E82,CSN6480,22.52028,113.9486,242,3475,212,-384,3653,2025-07-18T20:00:00Z,ADSB
3b509369,76CC77,SIA810,22.53575,114.12119,358,39100,499,64,2234,2025-07-18T20:00:00Z,ADSB
3b50fdcd,781698,CSC3885,22.35091,113.89646,149,34100,457,0,1532,2025-07-18T20:15:00Z,ADSB
3b50bbdf,780364,JDL2645,22.52065,113.87569,334,2650,153,-960,5601,2025-07-18T20:15:00Z,ADSB
3b511441,781F3A,CSZ9892,22.62575,113.97851,181,4950,202,-1024,3652,2025-07-18T20:15:00Z,ADSB
3b5152b5,789282,AHK831,22.34344,114.02825,81,3625,224,2304,5121,2025-07-18T20:29:59Z,ADSB
3b508522,7810F6,CHH7852,22.48771,113.88006,48,2750,182,-64,2301,2025-07-18T20:29:59Z,ADSB
3b4f6306,7813F9,CSN302,22.34225,113.87679,345,14775,392,0,1323,2025-07-18T20:30:00Z,ADSB
3b50ad89,78056E,CSZ9624,22.54092,113.86454,333,2250,156,-704,1201,2025-07-18T20:44:59Z,ADSB
3b509fea,782156,CQH7008,22.57095,113.89981,8,13325,325,-1472,1633,2025-07-18T20:44:59Z,ADSB
3b514cd7,780A8A,CPA233,22.42361,114.22491,324,16775,376,1344,5324,2025-07-18T20:44:58Z,ADSB
3b50fcf9,78050E,CSZ9922,22.52536,113.95993,242,4050,211,-512,3774,2025-07-18T20:44:59Z,ADSB
3b511cb1,781FFF,CSN3210,22.65953,114.18999,246,9525,285,-1024,1046,2025-07-18T20:44:59Z,ADSB
3b512749,780E09,CSN6154,22.72885,114.22308,256,6575,270,-448,1331,2025-07-18T20:44:58Z,ADSB
3b5125a3,780BEB,CSZ9820,22.5202,113.87583,333,2650,154,-640,5064,2025-07-18T20:59:57Z,ADSB
3b5123bd,78145E,EPA6218,22.53887,113.97771,205,3450,211,64,1047,2025-07-18T20:59:59Z,ADSB
3b50f66d,781563,CSZ9616,22.71521,114.08518,263,7125,251,-1024,7365,2025-07-18T20:59:59Z,ADSB
3b50feaf,7809FD,CSN5182,22.50032,113.89287,294,2800,184,-128,1263,2025-07-18T21:14:59Z,ADSB
3b512cc2,7806BD,CBJ5910,22.50755,113.88153,339,2775,160,-64,4010,2025-07-18T21:29:59Z,ADSB
3b50d682,750264,MAS6178,22.46411,113.88331,8,14300,339,-1984,2154,2025-07-18T21:29:59Z,ADSB
3b5154e1,7814C4,CSZ9894,22.7216,114.14625,263,7550,255,-704,3664,2025-07-18T21:29:59Z,ADSB
3b514de3,7812FA,CSS6826,22.50458,113.88412,310,2775,180,-640,5666,2025-07-18T21:44:58Z,ADSB
3b514643,780EB9,CSZ9850,22.72357,114.16418,263,6850,288,-960,7741,2025-07-18T21:44:58Z,ADSB
3b50baa1,781736,CSN6066,22.54189,113.8639,333,2250,163,-832,4112,2025-07-18T22:00:00Z,ADSB
3b5167a0,78188D,CSS6834,22.68975,114.02756,199,5125,211,-960,3662,2025-07-18T21:59:59Z,ADSB
3b50c427,8A04D7,GIA870,22.70804,114.04913,334,37100,482,0,4105,2025-07-18T21:59:59Z,ADSB
3b513e2d,7804C4,CSN3964,22.72015,114.13168,263,6825,265,-576,3776,2025-07-18T22:00:00Z,ADSB
3b515f7a,780B23,CSZ8662,22.50655,113.92223,241,3125,206,-832,5057,2025-07-18T22:14:59Z,ADSB
3b5149f4,7809F9,CSN8474,22.53207,113.85188,332,2375,158,-832,0602,2025-07-18T22:29:59Z,ADSB
3b4f29b0,78136B,CSZ866,22.49991,113.8667,346,2800,162,-64,7366,2025-07-18T22:44:59Z,ADSB
3b518930,78097E,YZR7532,22.61581,114.00363,197,5025,214,-1024,3660,2025-07-18T22:45:00Z,ADSB
3b518284,781B8B,DKH1946,22.51414,113.86086,337,2750,152,-704,6427,2025-07-18T23:14:57Z,ADSB
3b519c70,780C6B,CSZ8968,22.50703,113.93606,226,3775,193,-512,1003,2025-07-18T23:14:59Z,ADSB
3b519457,781478,CSZ9528,22.73241,114.24942,263,8475,289,-896,5050,2025-07-18T23:14:58Z,ADSB
3b51d90b,780368,AMU686,22.3717,113.91428,89,12150,340,1088,3516,2025-07-18T23:29:59Z,ADSB
3b51ab73,781049,EPA622T,22.69277,114.09353,215,7275,264,-1152,6226,2025-07-18T23:29:59Z,ADSB
3b5185a6,7502CD,XAX343,22.49609,113.86932,180,38100,472,0,3072,2025-07-18T23:45:00Z,ADSB
3b51c84d,7821E0,CES6392,22.3589,114.1424,357,33125,479,64,4260,2025-07-18T23:59:59Z,ADSB
3b51d70d,78046E,CSZ8759,22.72623,114.18501,266,30100,475,0,0164,2025-07-18T23:59:59Z,ADSB
3b51f34b,780DCE,CHH7769,22.73774,113.98132,118,10725,318,1088,3161,2025-07-18T23:59:59Z,ADSB
3b51ef63,780A54,CRK604,22.37273,114.02979,56,4200,225,2240,3501,2025-07-18T23:59:59Z,ADSB
3b51b539,7822AB,EPA620R,22.53044,113.85287,333,2425,152,-640,7400,2025-07-19T00:14:59Z,ADSB
3b51fd7a,780EBE,CES2712,22.72787,113.86515,25,14825,346,0,3151,2025-07-19T00:15:00Z,ADSB
3b51fb1a,7801B4,CPA982,22.34372,113.98655,55,3300,211,2816,3352,2025-07-19T00:15:00Z,ADSB
3b51cc2c,780461,CHH7558,22.47464,113.85577,63,2800,177,320,2160,2025-07-19T00:29:57Z,ADSB
3b51d1f8,78083C,CSZ8954,22.72266,114.15529,263,5700,274,-832,7032,2025-07-19T00:29:58Z,ADSB
3b51ff92,7801B9,CPA488,22.39768,114.07084,62,5550,245,896,5730,2025-07-19T00:29:58Z,ADSB
3b51c39a,781F39,CSZ9816,22.54958,113.98206,196,4150,208,-1408,5022,2025-07-19T00:29:58Z,ADSB
3b51adae,780473,CSZ306,22.50605,113.8649,337,2800,168,0,0743,2025-07-19T00:44:55Z,ADSB
3b51f360,780E38,DKH2048,22.53072,113.98351,65,10525,288,-960,0650,2025-07-19T00:44:58Z,ADSB
3b5209fe,780A81,CPA512,22.39471,114.06525,56,4975,224,2112,3554,2025-07-19T00:44:58Z,ADSB
3b51e817,782187,CSN5010,22.34219,114.23843,110,10825,303,2560,3357,2025-07-19T00:44:58Z,ADSB
3b51a511,780C0D,HBH806U,22.67425,114.04642,198,5400,212,-192,5656,2025-07-19T00:44:59Z,ADSB
3b520226,780AA5,CPA257,22.68626,114.06006,333,15775,381,384,5363,2025-07-19T00:44:59Z,ADSB
3b51e1a0,780CCC,CSN3875,22.6357,114.21122,281,7950,209,-1216,3775,2025-07-19T00:44:59Z,ADSB
3b51ac45,7811A9,CSZ206,22.5068,113.86561,332,2850,174,-768,2715,2025-07-19T00:59:57Z,ADSB
3b51909a,76BD49,TGW100,22.35022,113.87554,346,14900,376,-1216,0140,2025-07-19T00:59:59Z,ADSB
3b51df55,780E43,CXA8383,22.50316,113.94984,242,3825,193,-896,3630,2025-07-19T00:59:59Z,ADSB
3b52163f,78924A,CPA994,22.38226,114.04597,55,6150,223,2304,5736,2025-07-19T00:59:59Z,ADSB
3b521333,7892A0,CRK690,22.3629,114.1873,113,7525,318,1280,3570,2025-07-19T00:59:59Z,ADSB
3b521638,789209,BLVE,22.54445,114.20947,29,1500,77,64,5264,2025-07-19T00:59:56Z,ADSB
3b51d8ed,7808C0,CSN8588,22.55586,113.85641,333,1925,143,-832,7432,2025-07-19T01:15:00Z,ADSB
3b51d5a8,78165F,CSZ9140,22.49016,113.86945,358,3050,167,-704,4064,2025-07-19T01:14:59Z,ADSB
3b51e743,780CCE,CSN3920,22.56056,113.95773,81,7400,212,0,0362,2025-07-19T01:14:59Z,ADSB
3b51ea25,7815A9,DKH1881,22.50316,113.95889,229,4075,195,-1216,6323,2025-07-19T01:15:00Z,ADSB
3b5216ff,781F3A,CSZ8925,22.72103,113.97776,113,10375,299,1024,3160,2025-07-19T01:14:59Z,ADSB
3b51ee27,781043,CES2477,22.68258,114.08167,281,5375,224,64,0302,2025-07-19T01:15:00Z,ADSB
3b521c86,780AB3,HKE894,22.3832,114.04663,56,5825,211,1664,3577,2025-07-19T01:14:59Z,ADSB
3b521717,7804E8,CCA118,22.63123,114.0888,334,16475,359,640,5721,2025-07-19T01:14:59Z,ADSB
3b521c4a,789266,CPA384,22.34367,114.2327,113,11050,341,3072,5734,2025-07-19T01:14:59Z,ADSB
3b51c914,780FD2,CSZ8565,22.53227,113.86929,333,2425,154,-768,1063,2025-07-19T01:29:59Z,ADSB
3b51e322,781122,CSN6531,22.55689,113.99256,187,4375,218,64,0370,2025-07-19T01:29:59Z,ADSB
3b522f8f,7821A3,CHC23,22.56953,113.91259,37,1225,76,192,0,2025-07-19T01:29:59Z,ADSB
3b51f48c,7800E4,CCA1737,22.66954,114.15029,253,5400,212,0,3624,2025-07-19T01:29:58Z,ADSB
3b51506c,780AAB,CPA624,22.39367,114.20171,251,5000,210,0,0640,2025-07-19T01:44:57Z,ADSB
3b504080,4BB0F0,THY170,22.34518,113.95549,250,1325,153,-768,3601,2025-07-19T01:44:58Z,ADSB
3b520acf,780C29,CSC3219,22.34116,114.06845,16,33100,469,0,4260,2025-07-19T01:44:58Z,ADSB
3b51f204,7816D5,CSS6846,22.55866,113.85488,333,1900,152,-704,1025,2025-07-19T01:44:58Z,ADSB
3b522f8f,7821A3,CHC23,22.61998,113.9068,173,3000,97,-128,5773,2025-07-19T01:44:48Z,ADSB
3b51e6ac,7819DD,CES2867,22.57532,114.00858,159,5400,223,0,7754,2025-07-19T01:44:58Z,ADSB
3b5229ce,780190,CPA924,22.56229,114.12272,335,17525,397,1664,5732,2025-07-19T01:44:58Z,ADSB
3b51ff6c,899107,CAL5998,22.6303,114.24057,83,31100,487,-64,1545,2025-07-19T01:44:58Z,ADSB
3b51fe81,7818F5,CSN3366,22.531,113.87034,328,2475,177,-1088,5111,2025-07-19T01:59:54Z,ADSB
3b51f59b,780CD8,CES9623,22.36647,114.02161,251,2550,186,-1024,5252,2025-07-19T01:59:58Z,ADSB
3b521e60,78164A,AMU657,22.34532,114.09077,265,18000,424,-64,6263,2025-07-19T01:59:59Z,ADSB
3b5169da,780ABB,CPA632,22.39963,114.12516,250,4525,205,-2048,0626,2025-07-19T01:59:59Z,ADSB
3b523784,78201E,B655N,22.49018,114.10975,22,13800,356,128,5733,2025-07-19T01:59:59Z,ADSB
3b51ce62,780AA0,HKE659,22.38725,114.20761,282,5125,204,-448,4173,2025-07-19T01:59:58Z,ADSB
3b521f76,781383,CXA8965,22.50938,113.92738,242,3425,202,-896,2711,2025-07-19T02:14:59Z,ADSB
3b522238,899055,EVA845,22.37701,114.05482,250,3125,204,-1216,2661,2025-07-19T02:14:59Z,ADSB
3b51f950,780AA6,CRK221,22.37813,114.15293,250,4425,208,-1280,7747,2025-07-19T02:14:59Z,ADSB
3b51fd35,780C78,CSN3578,22.49106,113.874,12,2800,182,0,7740,2025-07-19T02:29:59Z,ADSB
3b521434,780788,CSZ8666,22.71323,114.06445,263,7300,227,-64,1074,2025-07-19T02:29:59Z,ADSB
3b521beb,899072,EVA851,22.34019,113.93987,251,1025,149,-704,2636,2025-07-19T02:29:59Z,ADSB
3b51de4e,71C274,KAL173,22.36816,114.02685,250,2500,192,-896,5032,2025-07-19T02:29:59Z,ADSB
3b5219a3,782152,CES5565,22.71867,114.11579,263,12800,360,0,5041,2025-07-19T02:29:59Z,ADSB
3b51e7ba,789292,CPA345,22.41238,114.16358,250,4900,214,-832,0040,2025-07-19T02:29:58Z,ADSB
3b522309,781032,CSN6077,22.41234,113.87019,186,32075,462,0,5050,2025-07-19T02:44:58Z,ADSB
